NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO
210052893483,2021,2,F,1,1,1,2,0,3,1.0,0,3550308.0,Ṣo Paulo,35.0,SP,4.0,1.0,1.0,3550308,Ṣo Paulo,35,SP,1,1,1,1,912.0,882.0,891.0,901.0,570.9,489.6,604.5,574.4,DABCEDEBECEADBBCDDAAADBDBABCBECCBDCDCDEACCCEC,CCDACADDDAEEEEECCCABCDDCBBCCCCAAAA*ACCBBAAABA,ACABB99999DCDAACBBDDDAEABDDADCBDBCCBDAADDCACCEBBDD,DCCDEDECEDBDDDCCAEDAEDDDCEDDBCDDBDEACBCCDCBDB,0,DABCEDEBEEBBCABEDDCBCBECDADCDAACBDCCCDBBBEBAB,EBAAEADBCACBBABEECBAAEEBBBADCBADBCEDDEBBCAEAB,ACABBACAEADCEADABDACDCEABDDADBEDDDEBBACCDDDCCEBBBB,DCCAEBABDDCABEECCBCCEXADDCEECDEBADCABBDBDEDCE,1.0,140.0,140.0,120.0,120.0,40.0,560.0
210051297812,2021,4,M,1,1,1,1,2,1,,0,,,,,,,,3550308,Ṣo Paulo,35,SP,1,1,1,1,912.0,882.0,891.0,901.0,485.5,565.3,544.8,610.9,DCDCBABBECBBDAEDEDDECAADACACAABBDACCEABEBDAAA,DABBECCAEAEBBABAACBCABBCCBAEBCAABCBAAEBBCAABB,99999ECAEADEECCCABACDBEABACCCBDDBDECDAEADACCCDCCEE,DDEEEEADDECDCEACCCECBABBDEBEBCDABDACDBBACDEBD,1,DABCEDEBEEBBCABEDDCBCBECDADCDAACBDCCCDBBBEBAB,EBAAEADBCACBBABEECBAAEEBBBADCBADBCEDDEBBCAEAB,ACABBACAEADCEADABDACDCEABDDADBEDDDEBBACCDDDCCEBBBB,DCCAEBABDDCABEECCBCCEXADDCEECDEBADCABBDBDEDCE,1.0,120.0,120.0,120.0,120.0,140.0,620.0
210051872246,2021,3,F,1,2,1,2,0,2,1.0,0,,,,,,,,3550308,Ṣo Paulo,35,SP,1,1,1,1,911.0,880.0,890.0,902.0,426.8,515.0,508.0,466.4,EBBECBDBBDECAEDCCABDBEDADCACEDCDDBAAABDBEEDDE,BBAEAEBEBECCDBAEECBDACADCCADADEADEABEEDEBEEEC,ADBBC99999CDAADDEACABBEABCCDCEEBEEABDEACBBBDEDACAC,CEABCDCAACECEBDDCCDEEAAEBDABCEACCBEDCBEEABCCB,0,CDBBBCABEDEDEAAEBACCCBDABCDCBCBDECDADCDBBEEBB,BBBAAEECBBABEECEBAAEADBCACAEABEDDEBBBADBCBADC,ABBCAEAACADDCACDCADABBBBDEBBACEADCEBDDACEEDDDBCDBD,ECCCABBDBDDDCEDDCABXEEEBABEDCEDCCAEBADBCCECDA,1.0,120.0,180.0,120.0,160.0,180.0,760.0
210052512468,2021,4,F,1,3,1,1,2,1,,0,,,,,,,,3550308,Ṣo Paulo,35,SP,1,1,1,1,1046.0,1015.0,1025.0,1036.0,420.3,429.1,520.9,550.8,BCEBBCDADDCDEACBBACEAEDDCBBEAACDCBBDADEDABBCD,DDBCABEEDDCDBADDBCDADBEDDDAEDCDAADCEEDBDCCBDC,BDDEC99999DDACEACAEEEBAACADDABACBCAAEBEACCDDBDDCDE,ACECBDBCADDECCEDBAAECDBEACCBADBABCDCAEEBCDBDD,0,AEEADABABACCBACBACCBEEDAAEDEACDAACDDCCAEBACEE,DBDBAEDAEEACAEEBAADEABEBEDACBCBDDBBABBCCBABAB,DACECBCBCEACBCEAEDADEBAAEBBCABDABBAAAADACCDDABACBE,BBCDEDBCBEBDBBEABEDBADBBDCADACBCBDACADBBCCEDE,6.0,0.0,0.0,0.0,0.0,0.0,0.0
210052481541,2021,12,M,1,1,1,1,13,1,,0,,,,,,,,3550308,Ṣo Paulo,35,SP,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,
210053251539,2021,7,F,0,2,1,1,0,1,,0,,,,,,,,3541000,Praia Grande,35,SP,1,1,1,1,911.0,880.0,890.0,902.0,527.4,518.9,479.8,437.1,CDDACBCDEDABEACEACBDBBCABCACABBCEDADECBDEEABA,ABBABBDEDCEBADBDAEECADBEACBEADAADADEEABBEBEDB,ADBBA99999AABAECCBEBBCBEADADAACCEEBBDDACEBACDCBADE,DCEDBADAABEACCBCECAAAECDDABBDECEBBACDBBCCADBE,0,CDBBBCABEDEDEAAEBACCCBDABCDCBCBDECDADCDBBEEBB,BBBAAEECBBABEECEBAAEADBCACAEABEDDEBBBADBCBADC,ABBCAEAACADDCACDCADABBBBDEBBACEADCEBDDACEEDDDBCDBD,ECCCABBDBDDDCEDDCABXEEEBABEDCEDCCAEBADBCCECDA,1.0,120.0,140.0,120.0,120.0,120.0,620.0
210053533539,2021,3,M,1,2,1,2,0,2,1.0,0,,,,,,,,3508405,Cabre̼va,35,SP,1,1,1,1,909.0,881.0,892.0,899.0,439.5,580.1,538.6,429.2,BCACBAEDADECBABBDACABEBBDAEAEEDDAAADECDBDBBDA,BCEECAEBBAECEADCABABEBABBDDCBBABCADEBBADCEBAA,99999AAACDDDDBEAECDDCEDACBBCADDBCCEDDBEAACDBAAACBA,CABEBBCEADCACDADBADAECCBDCA.CEBEBA.BCEDBCCDDC,1,EDECABEDABCBEBACCDCBBEEBBCBDAAECDCBDCDBBBADCD,BEECCAEABADBCAEBAAEEDDEBBBADBCBAAEEBBBADCCBBA,ABBACAAECACDBDDADEBDDCBDCEDBEDDBBBBDCEEAADABACACDC,EEXEBABDDCECCBCCECDCAEBADEABBDBDEDCEDCCADDCAB,1.0,120.0,120.0,120.0,120.0,100.0,580.0
210052314039,2021,16,F,1,1,1,1,15,1,,0,,,,,,,,3550308,Ṣo Paulo,35,SP,1,1,1,1,911.0,880.0,890.0,902.0,436.8,540.0,480.5,449.6,CDCDEAEBEBDCCACECCBBACBDCBDDBDBECEDDECACEBBCB,DBBBADDCABBBCACEDAEEDCABACABBCDEBEBEDBADBAECC,DCCED99999DEBABDCBCEBBEEDCDDACDDAADBAEACBBABEACDAE,CDCABBADEBDDCBADDCEABCDECBDCBCEDECBDCCDBDEABA,0,CDBBBCABEDEDEAAEBACCCBDABCDCBCBDECDADCDBBEEBB,BBBAAEECBBABEECEBAAEADBCACAEABEDDEBBBADBCBADC,ABBCAEAACADDCACDCADABBBBDEBBACEADCEBDDACEEDDDBCDBD,ECCCABBDBDDDCEDDCABXEEEBABEDCEDCCAEBADBCCECDA,1.0,120.0,120.0,120.0,120.0,140.0,620.0
210051352463,2021,1,M,1,3,1,3,0,1,,1,,,,,,,,3540705,Porto Ferreira,35,SP,1,1,1,1,910.0,879.0,889.0,900.0,518.3,604.6,577.7,496.7,DBCACBEDBEDDCEECECEDCBDDBBCBCAECEBDDDCCAAEECE,BACCCACBDACBABBADACABCEBCBEBBADDAAEBBAAAADEDB,CAAAB99999BBCDEADCBCDEDDDABBDEACBACBECACAACADDDECC,BEEDAADEDCDECABDCEADCABEEAEABEBCACDDABACEB*BA,0,ADCDCDBBBECDCCDCBCBDABCAADCBEBABEEBBBCABEDEDE,BADCBADBCEDDEBBADBCABEECCAEABEBAAECBBABAAEEBB,CAABBCAEAABDCDEADCEDBEDDDABBBBDEBCEADABDBACACDCDDC,DDCABDCCAEDCEBBDBDAEEBADCAECDBCCCCDDCEEBABXEE,1.0,140.0,120.0,100.0,120.0,100.0,580.0
210052005604,2021,1,F,1,1,1,3,0,1,,1,,,,,,,,3522307,Itapetininga,35,SP,1,1,1,1,910.0,879.0,889.0,900.0,477.1,603.3,516.7,714.0,DAAACDDEBACACCEBDEADDADCDCDACCEEECBDDBABCDBBE,BBECBADACECAEBAADAEADEECEBBBBEAAEECBCEBBAEEBB,CABAA99999BDADEEDEDDACDDBEBADABDDECBCCBBDABAAEBDBD,DBCCBACCECCBBDBDBCAECAADCAABEECCCCDDACEBACDDA,0,ADCDCDBBBECDCCDCBCBDABCAADCBEBABEEBBBCABEDEDE,BADCBADBCEDDEBBADBCABEECCAEABEBAAECBBABAAEEBB,CAABBCAEAABDCDEADCEDBEDDDABBBBDEBCEADABDBACACDCDDC,DDCABDCCAEDCEBBDBDAEEBADCAECDBCCCCDDCEEBABXEE,1.0,160.0,120.0,120.0,140.0,140.0,680.0
